"No.","Time","Source","Destination","Protocol","Length","Info"
"46","0.110536000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M41.GGYRLII.BIZ<00>"
"47","0.112163000","Dell_06:25:04","Broadcast","ARP","60","Who has 10.10.14.80?  Tell 10.10.11.206"
"48","0.114012000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"49","0.115792000","fe80::a1fb:332b:83a7:7fb2","ff02::1:ffa7:7fb2","ICMPv6","86","Multicast Listener Report"
"50","0.121735000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"51","0.123395000","30:e3:7a:17:67:7c","Broadcast","ARP","60","Who has 10.10.10.63?  Tell 10.10.14.139"
"52","0.125203000","fe80::a047:31d8:5c16:2c05","ff02::1:ff16:2c05","ICMPv6","86","Multicast Listener Report"
"53","0.126635000","10.10.15.176","224.0.0.251","MDNS","192","Standard query 0x0000  SRV PICT-NI19._smb._tcp.local, ""QM"" question AAAA PICT-NI19-2.local, ""QM"" question A PICT-NI19-2.local, ""QM"" question TXT PICT-NI19._smb._tcp.local, ""QM"" question"
"54","0.128589000","10.10.10.29","224.0.0.251","MDNS","127","Standard query 0x0000  A PICT-NI19-2.local, ""QM"" question AAAA PICT-NI19-2.local, ""QM"" question"
"55","0.128607000","10.10.11.104","224.0.0.251","MDNS","127","Standard query 0x0000  A PICT-NI19-2.local, ""QM"" question AAAA PICT-NI19-2.local, ""QM"" question"
"56","0.128611000","10.10.15.134","224.0.0.251","MDNS","127","Standard query 0x0000  A PICT-NI19-2.local, ""QM"" question AAAA PICT-NI19-2.local, ""QM"" question"
"57","0.128616000","fe80::7da5:e9d0:c4e5:5dee","ff02::1:ffe5:5dee","ICMPv6","86","Multicast Listener Report"
"58","0.130644000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"59","0.133207000","10.10.14.139","224.0.0.251","MDNS","304","Standard query 0x0000  SRV PICT-NI19._smb._tcp.local, ""QM"" question TXT HP LaserJet Pro MFP M226dw (1432DA)._ipps._tcp.local, ""QM"" question SRV HP LaserJet Pro MFP M226dw (1432DA)._ipps._tcp.local, ""QM"" question AAAA NPI1432DA.local, ""QM"" question A NPI1432DA.local, ""QM"" question AAAA PICT-NI19-2.local, ""QM"" question A PICT-NI19-2.local, ""QM"" question TXT PICT-NI19._smb._tcp.local, ""QM"" question"
"60","0.133225000","10.10.15.127","224.0.0.251","MDNS","127","Standard query 0x0000  A PICT-NI19-2.local, ""QM"" question AAAA PICT-NI19-2.local, ""QM"" question"
"61","0.135036000","10.10.13.149","224.0.0.251","MDNS","127","Standard query 0x0000  A PICT-NI19-2.local, ""QM"" question AAAA PICT-NI19-2.local, ""QM"" question"
"62","0.139407000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"63","0.140685000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M21.UCQXGSU.COM<00>"
"64","0.144142000","Private_10:03:a9","Broadcast","ARP","60","Who has 10.10.10.0?  Tell 10.10.10.201"
"65","0.147152000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"66","0.151296000","10.10.13.187","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"67","0.154905000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"68","0.156334000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M34.SIMLIBI.COM<00>"
"69","0.158374000","10.10.15.92","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"70","0.158381000","10.10.10.166","224.0.0.251","MDNS","123","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe27:958e"
"71","0.162434000","10.10.10.166","224.0.0.251","MDNS","123","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe27:958e"
"72","0.163282000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"73","0.166471000","fe80::ca1f:66ff:fe05:88b9","ff02::1:ff05:88b9","ICMPv6","86","Multicast Listener Report"
"74","0.166666000","fe80::c53d:5edc:9295:8658","ff02::1:ff95:8658","ICMPv6","86","Multicast Listener Report"
"75","0.169910000","10.10.15.11","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"76","0.171041000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"77","0.176765000","fe80::7025:3a6e:e3ef:c9cc","ff02::1:ffef:c9cc","ICMPv6","86","Multicast Listener Report"
"78","0.177546000","10.10.10.166","224.0.0.251","MDNS","123","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe27:958e"
"79","0.179114000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"80","0.182111000","fe80::1af0:e4ff:fea0:e71b","ff02::1:ffa0:e71b","ICMPv6","86","Multicast Listener Report"
"81","0.183643000","10.10.10.166","224.0.0.251","MDNS","123","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe27:958e"
"82","0.188230000","fe80::544c:d882:e27c:8d20","ff02::1:ff00:2c2","ICMPv6","86","Multicast Listener Report"
"83","0.188302000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M5.XXBEZDS.BIZ<00>"
"84","0.200701000","10.10.14.209","224.0.0.251","MDNS","192","Standard query 0x0000  SRV PICT-NI19._smb._tcp.local, ""QM"" question AAAA PICT-NI19-2.local, ""QM"" question A PICT-NI19-2.local, ""QM"" question TXT PICT-NI19._smb._tcp.local, ""QM"" question"
"85","0.200727000","Azurewav_d8:4c:3b","Broadcast","ARP","60","Who has 10.10.10.249?  Tell 10.10.12.168"
"86","0.203209000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M9.XONOLFS.IN<00>"
"87","0.205320000","Dell_27:82:99","Broadcast","ARP","60","Who has 10.10.10.123?  Tell 10.10.15.172"
"88","0.210673000","fe80::6971:2a13:b9af:3477","ff02::1:ffaf:3477","ICMPv6","86","Multicast Listener Report"
"89","0.216029000","10.10.12.19","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"90","0.224160000","10.10.13.45","239.255.255.250","SSDP","545","NOTIFY * HTTP/1.1 "
"91","0.224171000","fe80::755a:48ef:c16e:8340","ff02::c","SSDP","575","NOTIFY * HTTP/1.1 "
"92","0.226137000","Dell_7f:02:80","Broadcast","ARP","60","Who has 10.10.10.231?  Tell 10.10.15.209"
"93","0.231284000","10.10.10.166","224.0.0.251","MDNS","123","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe27:958e"
"94","0.232394000","10.10.10.166","224.0.0.251","MDNS","123","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe27:958e"
"95","0.237518000","10.10.10.166","224.0.0.251","MDNS","123","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe27:958e"
"96","0.241463000","fe80::4490:bb87:71cf:1533","ff02::1:ffcf:1533","ICMPv6","86","Multicast Listener Report"
"97","0.241637000","10.10.10.166","224.0.0.251","MDNS","123","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe27:958e"
"98","0.246465000","fe80::8eec:4bff:fe5d:2977","ff02::1:ff5d:2977","ICMPv6","86","Multicast Listener Report"
"99","0.252346000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M18.ZNGCYCK.CC<00>"
"100","0.258781000","10.10.16.239","224.0.0.251","MDNS","826","Standard query response 0x0000  TXT, cache flush"
"101","0.282473000","f4:8e:38:87:45:6f","Broadcast","ARP","60","Who has 10.10.12.10?  Tell 10.10.15.10"
"102","0.287682000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x5097a38f"
"103","0.287694000","Netgear_dc:ac:64","Broadcast","ARP","60","Who has 192.168.1.34?  Tell 192.168.1.1"
"104","0.287699000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"105","0.288412000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"106","0.288769000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"107","0.288885000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"108","0.289103000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"109","0.289315000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"110","0.289518000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"111","0.289624000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"112","0.289751000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"113","0.290345000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"114","0.294553000","fe80::8470:7891:4484:683f","ff02::1:ffab:49fa","ICMPv6","86","Neighbor Solicitation for fe80::bed1:1fff:feab:49fa from 00:1a:a0:ba:bd:a2"
"115","0.299149000","10.10.14.49","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"116","0.300980000","fe80::345f:68d:9a86:2c5f","ff02::1:fffe:dcf7","ICMPv6","86","Neighbor Solicitation for fe80::615d:527:f5fe:dcf7 from 00:1f:d0:3f:15:ae"
"117","0.313967000","fe80::ad2c:5493:ba24:21cf","ff02::1:ff24:21cf","ICMPv6","86","Multicast Listener Report"
"118","0.320177000","fe80::7a45:c4ff:fe27:8853","ff02::1:ff27:8853","ICMPv6","86","Multicast Listener Report"
"119","0.321763000","10.10.15.242","224.0.0.252","LLMNR","75","Standard query 0xd70b  AAAA WIN-JJVQTFUFFR8"
"120","0.323174000","fe80::1e17:cef2:ab41:a1dc","ff02::1:ff41:a1dc","ICMPv6","86","Multicast Listener Report"
"121","0.323554000","fe80::c17c:5f9c:64a8:ae72","ff02::1:ffa8:ae72","ICMPv6","86","Multicast Listener Report"
"122","0.326557000","cc:98:91:37:97:53","Broadcast","0x8899","60","Ethernet II"
"123","0.328195000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M27.RSZXBJN.COM<00>"
"124","0.336550000","fe80::6452:c19a:a2e0:5ced","ff02::1:ffe0:5ced","ICMPv6","86","Multicast Listener Report"
"125","0.338807000","fe80::6522:e4eb:3e43:9a64","ff02::1:ff43:9a64","ICMPv6","86","Multicast Listener Report"
"126","0.343841000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M37.YGLCISE.CC<00>"
"127","0.354698000","fe80::ca1f:66ff:fe05:e222","ff02::1:ff05:e222","ICMPv6","86","Multicast Listener Report"
"128","0.359429000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M16.EAHQYRH.COM<00>"
"129","0.359627000","10.10.10.232","224.0.0.251","MDNS","103","Standard query 0x000d  PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"130","0.360537000","10.10.10.90","224.0.0.252","IGMPv2","64","Membership Report group 224.0.0.252"
"131","0.368856000","fe80::184c:21fa:e6f:737e","ff02::1:ff6f:737e","ICMPv6","86","Multicast Listener Report"
"132","0.369195000","fe80::184c:21fa:e6f:737e","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"133","0.375082000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M15.QANCSQP.COM<00>"
"134","0.375892000","fe80::7a45:c4ff:fe29:fc5","ff02::1:ff29:fc5","ICMPv6","86","Multicast Listener Report"
"135","0.376549000","192.168.0.1","239.255.255.250","SSDP","307","NOTIFY * HTTP/1.1  "
"136","0.376558000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"137","0.376560000","10.10.15.209","224.0.0.252","LLMNR","64","Standard query 0x26e1  A wpad"
"138","0.378283000","192.168.0.1","239.255.255.250","SSDP","379","NOTIFY * HTTP/1.1  "
"139","0.378292000","192.168.0.1","239.255.255.250","SSDP","371","NOTIFY * HTTP/1.1  "
"140","0.378294000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"141","0.379611000","192.168.0.1","239.255.255.250","SSDP","355","NOTIFY * HTTP/1.1  "
"142","0.379621000","192.168.0.1","239.255.255.250","SSDP","387","NOTIFY * HTTP/1.1  "
"143","0.379622000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"144","0.380896000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"145","0.380905000","192.168.0.1","239.255.255.250","SSDP","381","NOTIFY * HTTP/1.1  "
"146","0.380907000","192.168.0.1","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1  "
"147","0.380909000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"148","0.382495000","192.168.0.1","239.255.255.250","SSDP","303","NOTIFY * HTTP/1.1  "
"149","0.382505000","192.168.0.1","239.255.255.250","SSDP","312","NOTIFY * HTTP/1.1  "
"150","0.382506000","192.168.0.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1  "
"151","0.383825000","192.168.0.1","239.255.255.250","SSDP","377","NOTIFY * HTTP/1.1  "
"152","0.390781000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M11.XFKCTYL.COM<00>"
"153","0.390819000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M7.EEGMQHK.IN<00>"
"154","0.425454000","fe80::a614:37ff:fe9b:bc54","ff02::1:ff9b:bc54","ICMPv6","86","Multicast Listener Report"
"155","0.427600000","fe80::2943:9058:ee7d:df39","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"156","0.437603000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M24.UUITWXG.COM<00>"
"157","0.440427000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M23.IZPHLAN.BIZ<00>"
"158","0.442810000","10.10.11.253","224.0.0.251","MDNS","232","Standard query response 0x0000  TXT, cache flush PTR _ni-logos._tcp.local PTR PICT-NI14._ni-logos._tcp.local SRV, cache flush 0 0 2343 PICT-NI14.local"
"159","0.453211000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M6.ULLLRFD.COM<00>"
"160","0.453224000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M8.DTLJUQW.NET<00>"
"161","0.461459000","fe80::ed6b:caca:b1a6:f129","ff02::1:ffa6:f129","ICMPv6","86","Multicast Listener Report"
"162","0.464507000","Cisco_ea:86:0d","Spanning-tree-(for-bridges)_00","STP","60","Conf. TC + Root = 0/0/00:07:4f:12:34:c0  Cost = 29  Port = 0x800d"
"163","0.468532000","Dell_05:dd:81","Broadcast","ARP","60","Who has 10.10.10.190?  Tell 10.10.11.15"
"164","0.470301000","10.10.11.88","10.10.15.255","BROWSER","240","Browser Election Request"
"165","0.470629000","Dell_06:31:9d","Broadcast","ARP","60","Who has 10.10.10.93?  Tell 10.10.14.7"
"166","0.470870000","fe80::a0d3:913a:84ec:19b4","ff02::1:ffec:19b4","ICMPv6","86","Multicast Listener Report"
"167","0.473217000","10.10.12.129","224.0.0.251","MDNS","81","Standard query 0x0000  AAAA DESKTOP-CGADGMF.local, ""QM"" question"
"168","0.473403000","fe80::2c23:4b4e:1528:f5f6","ff02::fb","MDNS","101","Standard query 0x0000  AAAA DESKTOP-CGADGMF.local, ""QM"" question"
"169","0.473810000","fe80::2c23:4b4e:1528:f5f6","ff02::1:3","LLMNR","95","Standard query 0x8427  A DESKTOP-CGADGMF"
"170","0.473933000","10.10.12.129","224.0.0.252","LLMNR","75","Standard query 0x8427  A DESKTOP-CGADGMF"
"171","0.474030000","10.10.15.234","224.0.0.251","MDNS","103","Standard query response 0x0000  AAAA fe80::9b5:ff6:dcb:2b5e"
"172","0.474268000","fe80::2c23:4b4e:1528:f5f6","ff02::1:3","LLMNR","95","Standard query 0xe2cd  AAAA DESKTOP-CGADGMF"
"173","0.474323000","10.10.12.129","224.0.0.252","LLMNR","75","Standard query 0xe2cd  AAAA DESKTOP-CGADGMF"
"174","0.474853000","fe80::9b5:ff6:dcb:2b5e","ff02::fb","MDNS","123","Standard query response 0x0000  AAAA fe80::9b5:ff6:dcb:2b5e"
"175","0.475890000","10.10.15.209","224.0.0.252","LLMNR","64","Standard query 0x26e1  A wpad"
"176","0.478823000","10.10.12.129","224.0.0.251","MDNS","81","Standard query 0x0000  AAAA DESKTOP-CGADGMF.local, ""QM"" question"
"177","0.478886000","fe80::2c23:4b4e:1528:f5f6","ff02::fb","MDNS","101","Standard query 0x0000  AAAA DESKTOP-CGADGMF.local, ""QM"" question"
"178","0.479321000","fe80::2c23:4b4e:1528:f5f6","ff02::1:3","LLMNR","95","Standard query 0x24ea  A DESKTOP-CGADGMF"
"179","0.479358000","10.10.12.129","224.0.0.252","LLMNR","75","Standard query 0x24ea  A DESKTOP-CGADGMF"
"180","0.479517000","10.10.15.234","224.0.0.251","MDNS","103","Standard query response 0x0000  AAAA fe80::9b5:ff6:dcb:2b5e"
"181","0.479682000","fe80::2c23:4b4e:1528:f5f6","ff02::1:3","LLMNR","95","Standard query 0xdd07  AAAA DESKTOP-CGADGMF"
"182","0.479755000","10.10.12.129","224.0.0.252","LLMNR","75","Standard query 0xdd07  AAAA DESKTOP-CGADGMF"
"183","0.480479000","10.10.13.219","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"184","0.480488000","fe80::9b5:ff6:dcb:2b5e","ff02::fb","MDNS","123","Standard query response 0x0000  AAAA fe80::9b5:ff6:dcb:2b5e"
"185","0.490605000","SamsungE_ac:5a:12","Broadcast","ARP","60","Who has 192.168.9.254?  Tell 192.168.9.244"
"186","0.496191000","Dell_b2:39:6a","Broadcast","ARP","60","Who has 10.10.11.230?  Tell 10.10.15.17"
"187","0.500149000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M4.TRDDXUG.COM<00>"
"188","0.501976000","fe80::baca:3aff:febd:624c","ff02::1:ffbd:624c","ICMPv6","86","Multicast Listener Report"
"189","0.510921000","10.10.12.19","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"190","0.515678000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M42.IHMBGFP.NET<00>"
"191","0.518886000","fe80::e65d:75ff:fe69:74d3","ff02::1:ff69:74d3","ICMPv6","86","Multicast Listener Report"
"192","0.540812000","fe80::85fe:8651:55b7:2bf5","ff02::1:ffb7:2bf5","ICMPv6","86","Multicast Listener Report"
"193","0.543246000","10.10.10.166","224.0.0.251","MDNS","123","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe27:958e"
"194","0.548191000","fe80::ca1f:66ff:fe05:8c6a","ff02::1:ff05:8c6a","ICMPv6","86","Multicast Listener Report"
"195","0.560354000","10.10.10.166","224.0.0.251","MDNS","123","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe27:958e"
"196","0.562557000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M0.ZUXQSFY.COM<00>"
"197","0.562649000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M38.HJMBRUZ.COM<00>"
"198","0.592713000","fe80::345f:68d:9a86:2c5f","ff02::c","SSDP","181","M-SEARCH * HTTP/1.1 "
"199","0.592728000","10.10.12.219","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"200","0.592730000","fe80::345f:68d:9a86:2c5f","ff02::c","SSDP","179","M-SEARCH * HTTP/1.1 "
"201","0.592732000","10.10.12.219","239.255.255.250","SSDP","165","M-SEARCH * HTTP/1.1 "
"202","0.598195000","fe80::51fe:b898:c55:a41a","ff02::1:ff55:a41a","ICMPv6","86","Multicast Listener Report"
"203","0.609532000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M19.FJIJXCH.COM<00>"
"204","0.650615000","10.10.14.139","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"205","0.650627000","Dell_06:31:b1","Broadcast","ARP","60","Who has 10.10.10.190?  Tell 10.10.10.95"
"206","0.660326000","10.10.14.139","224.0.0.251","MDNS","233","Standard query response 0x0000  PTR, cache flush Anushree.local A, cache flush 10.10.14.139 PTR, cache flush Anushree.local AAAA, cache flush fe80::ed1f:5eb2:5b6c:b208"
"207","0.661636000","10.10.13.45","239.255.255.250","SSDP","561","NOTIFY * HTTP/1.1 "
"208","0.661649000","fe80::755a:48ef:c16e:8340","ff02::c","SSDP","591","NOTIFY * HTTP/1.1 "
"209","0.668029000","98:de:d0:30:d3:cc","Broadcast","ARP","60","Who has 10.10.11.230?  Tell 10.10.19.200"
"210","0.682381000","10.10.15.209","10.10.15.255","NBNS","92","Name query NB WPAD<00>"
"211","0.686538000","10.10.13.125","224.0.0.251","MDNS","263","Standard query response 0x0000  TXT, cache flush PTR _ni-logos._tcp.local PTR PICT-NI07._ni-logos._tcp.local SRV, cache flush 0 0 2343 PICT-NI07.local"
"212","0.693373000","10.10.14.153","182.156.239.9","TCP","66","36024 > http [ACK] Seq=1 Ack=1 Win=237 Len=0 TSval=13264160 TSecr=173035404"
"213","0.697927000","182.156.239.9","10.10.14.153","TCP","66","[TCP ACKed unseen segment] http > 36024 [ACK] Seq=1 Ack=2 Win=235 Len=0 TSval=173045414 TSecr=13254155"
"214","0.699064000","fe80::726d:ecff:fe02:109","ff02::1:ff00:0","ICMPv6","86","Multicast Listener Report"
"215","0.703272000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M1.GELUHSX.COM<00>"
"216","0.703378000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M25.ALIDXWR.COM<00>"
"217","0.704885000","10.10.11.167","10.10.15.255","BROWSER","242","Browser Election Request"
"218","0.706511000","fe80::bead:28ff:fee3:9a89","ff02::1:ffe3:9a89","ICMPv6","86","Multicast Listener Report"
"219","0.708557000","10.10.12.247","239.255.255.250","SSDP","546","NOTIFY * HTTP/1.1 "
